text,label
He went to the park and played with the dog.,dyslexic
There is a cat on the roof and it is looking down.,non-dyslexic
The sun is shining bright today.,non-dyslexic
My friends give me toys and sweets.,non-dyslexic
They were eating in the restaurant.,non-dyslexic
She ran fast and jumped high.,dyslexic
She likes to read books every day.,dyslexic
The sun is shining bright today.,dyslexic
She runned fast and jumped high.,dyslexic
My friends give me toys and swets.,dyslexic
There is a cat on the roof and it is looking down.,non-dyslexic
My friends give me toys and sweets.,non-dyslexic
I know how to write my name and I rarely misspell it.,non-dyslexic
I go to school every morning.,non-dyslexic
They were eating in the restaurant.,dyslexic
She ran fast and jumped high.,non-dyslexic
I know how to write my name and I rarely misspell it.,dyslexic
She ran fast and jumped high.,dyslexic
She likes to read buks every day.,dyslexic
They were eating in the restaurant.,dyslexic
She ran fast and jumped high.,non-dyslexic
I go to school every morning.,non-dyslexic
I go to schul every morning.,dyslexic
My friends give me toys and sweets.,non-dyslexic
He went to the park and played with the dog.,non-dyslexic
My friends give me toys and sweets.,non-dyslexic
I go to school every morning.,non-dyslexic
She ran fast and jumped high.,dyslexic
I want to eat ice cream now because it is hot.,non-dyslexic
She ran fast and jumped high.,dyslexic
I want to eat ice cream now because it is hot.,dyslexic
The sun is shining bright today.,dyslexic
He went to the park and played with the dog.,non-dyslexic
My friends give me toys and sweets.,dyslexic
They were eating in the restaurunnedt.,dyslexic
The sun is shining bright today.,dyslexic
I know how to write my name and I rarely misspell it.,non-dyslexic
There is a cat on the roof and it is looking down.,non-dyslexic
They were eating in the restaurant.,non-dyslexic
My freinds give me toys and swets.,dyslexic
She likes to read books every day.,non-dyslexic
I want to eat ice cream now because it is hot.,non-dyslexic
My friends give me toys and sweets.,dyslexic
I want to eat ice cream now because it is hot.,non-dyslexic
The sun is shining bright today.,non-dyslexic
I go to school every morning.,dyslexic
I know how to write my name and I rarely misspell it.,dyslexic
She likes to reed books every day.,dyslexic
I want to eat ice cream now becaus it is hot.,dyslexic
There is a cat on the roof and it is looking down.,non-dyslexic
I know how to write my name and I rarely misspell it.,non-dyslexic
There is a cat on the roof and it is looking down.,non-dyslexic
She likes to read books every day.,dyslexic
My friends give me toys and sweets.,non-dyslexic
I want to eat ice cream now becaus it is hot.,dyslexic
I go to school every morning.,dyslexic
I want to eat ice cream now because it is hot.,non-dyslexic
My friends give me toys and sweets.,dyslexic
I want to eat ice cream now because it is hot.,non-dyslexic
They were eating in the restaurant.,non-dyslexic
She ran fast and jumped high.,non-dyslexic
She ran fast and jumped high.,non-dyslexic
The sun is shining bright today.,dyslexic
She likes to read books every day.,dyslexic
